"图层",X 坐标,"Y 坐标","内容"
"停车位",2349.0431,"2553.0132","215001"
"停车位",2349.0403,"2553.015","215002"
"停车位",2349.0382,"2553.0175","215003"
"停车位",2349.0361,"2553.0196","215004"
"停车位",2349.0341,"2553.0219","215005"
"停车位",2349.0319,"2553.0241","215006"
"停车位",2349.0298,"2553.0262","215007"
"停车位",2349.0273,"2553.0284","215008"
"停车位",2349.0252,"2553.0306","215009"
"停车位",2349.0229,"2553.0328","215010"
"停车位",2349.0207,"2553.035","215011"
"停车位",2349.0185,"2553.0372","215012"
"停车位",2349.0162,"2553.0395","215013"
"停车位",2349.0141,"2553.0419","215014"
"停车位",2349.0122,"2553.0439","215015"
"停车位",2349.0098,"2553.0461","215016"
"停车位",2349.0075,"2553.0483","215017"
"停车位",2349.0052,"2553.0503","215018"
"停车位",2349.0033,"2553.0526","215019"
"停车位",2349.001,"2553.0547","215020"
"停车位",2348.999,"2553.0569","215021"
"停车位",2348.9967,"2553.0591","215022"
"停车位",2348.9945,"2553.0614","215023"
"停车位",2348.9922,"2553.0636","215024"
"停车位",2348.9901,"2553.0658","215025"
"停车位",2348.988,"2553.0681","215026"
"停车位",2348.9852,"2553.0703","215027"
"停车位",2348.9833,"2553.0724","215028"
"停车位",2348.9811,"2553.0745","215029"
"停车位",2348.979,"2553.0768","215030"
"停车位",2348.9768,"2553.0789","215031"
"停车位",2348.9747,"2553.0811","215032"
"停车位",2348.9724,"2553.0832","215033"
"停车位",2348.9703,"2553.0855","215034"
"停车位",2348.9681,"2553.0877","215035"
"停车位",2348.9659,"2553.0899","215036"
"停车位",2348.9636,"2553.0921","215037"
"停车位",2348.9613,"2553.0943","215038"
"停车位",2348.9591,"2553.0967","215039"
"停车位",2348.957,"2553.0988","215040"
"停车位",2348.955,"2553.1012","215041"
"停车位",2348.9525,"2553.1032","215042"
"停车位",2348.9504,"2553.1054","215043"
"停车位",2348.948,"2553.1077","215044"
"停车位",2348.946,"2553.1097","215045"
"停车位",2348.9438,"2553.1119","215046"
"停车位",2348.9417,"2553.1143","215047"
"停车位",2348.9393,"2553.1163","215048"
"停车位",2348.9372,"2553.1185","215049"
"停车位",2348.935,"2553.1207","215050"
